feature,importance_mean,importance_std
home_points,0.30061230169774567,0.007926424116805074
away_points,0.29949902588366273,0.004117709870459107
homeClassification_fcs,0.0290008349568606,0.002013921794057946
homeClassification_ii,0.02485388254940163,0.0020642562361022796
homeClassification_fbs,0.024185917060951877,0.0024468336046840743
awayClassification_ii,0.01909268021152243,0.0018002740471802234
homeClassification_iii,0.017784581129974976,0.0020918405147913564
awayClassification_iii,0.017450598385750117,0.001979980674849143
awayClassification_fcs,0.012691344280545525,0.0013066178229118406
awayClassification_fbs,0.010826607291956603,0.0009099795560407317
startDate,0.008961870303367692,0.0006794631570127296
season,0.008739215140551104,0.0008992760601950091
seasonType_regular,0.005900361814639621,0.0008237488776481276
seasonType_postseason,0.004480935151683851,0.00042117300168164544
week,0.000389646534929089,0.00028383075500097634
neutralSite,0.00027831895352080637,0.00012446801989980563
excitementIndex,8.349568605627855e-05,0.00035314716227247047
homePregameElo,5.566379070416349e-05,0.000111327581408327
venueId,0.0,0.0
completed,0.0,0.0
awayConference,-2.7831895352059544e-05,0.0001498793433658439
attendance,-5.5663790704141294e-05,0.0001113275814082826
conferenceGame,-0.00013915947676035323,0.00013915947676035326
homeConference,-0.00013915947676035323,0.00013915947676035326
homeId,-0.00016699137211241278,0.00025508353436992605
awayId,-0.00016699137211242387,0.00013634788437422372
awayPregameElo,-0.0003061508488727771,0.0001498793433658212
